source_medium,source_sub,source_qualifier,target_medium,target_sub,target_qualifier,kind
emissions to water,groundwater,long-term,water,groundwater,long-term
emissions to water,groundwater,,water,groundwater,
emissions to water,unspecified,long-term,water,unspecified,long-term
emissions to water,sea water,,water,ocean,
Emissions to fresh water,,,water,surface water,
Emissions to sea water,,,water,ocean,
water,fresh water,,water,surface water,
water,river,,water,surface water,
water,ground-,,water,groundwater,
"water","ground-, long-term",,water,"groundwater, long-term",
water,sea water,,water,ocean,
water,sea,,water,ocean,
Emissions to non-agricultural soil,,,soil,non-agricultural,
Emissions to agricultural soil,,,soil,agricultural,
soil,non-agricultural soil,,soil,non-agricultural,
soil,agricultural soil,,soil,agricultural,
lower stratosphere and upper troposphere,,,air,lower stratosphere + upper troposphere,
Emissions to air,,,air,,
Emissions to water,,,water,,
Emissions to soil,,,soil,,
Resources,,,natural resource,,
natural resource,non-renewable element resources from ground,,natural resource,in ground,
natural resource,renewable element resources from ground,,natural resource,in ground,
natural resource,non-renewable energy resources from ground,,natural resource,in ground,
natural resource,non-renewable material resources from ground,,natural resource,in ground,
natural resource,renewable material resources from ground,,natural resource,in ground,
natural resource,renewable energy resources from ground,,natural resource,in ground,
natural resource,non-renewable element resources from water,,natural resource,in water,
natural resource,non-renewable material resources from water,,natural resource,in water,
natural resource,renewable material resources from water,,natural resource,in water,
natural resource,renewable energy resources from water,,natural resource,in water,
natural resource,renewable element resources from air,,natural resource,in air,
natural resource,renewable material resources from air,,natural resource,in air,
natural resource,renewable energy resources from air,,natural resource,in air,
natural resource,renewable material resources from biosphere,,natural resource,biotic,
natural resource,renewable energy resources from biosphere,,natural resource,biotic,
land occupation,,,natural resource,land,
land transformation,,,natural resource,land,
resources,land,,natural resource,land,
emissions to air,low. pop.,,air,non-urban air or from high stacks,
"emissions to air","low. pop., long-term",,air,"low population density, long-term",
emissions to air,high. pop.,,air,urban air close to ground,
emissions to air,stratosphere + troposphere,,air,lower stratosphere + upper troposphere,
air,low. pop.,,air,non-urban air or from high stacks,
air,"low. pop., long-term",,air,"low population density, long-term",
air,high. pop.,,air,urban air close to ground,
air,stratosphere + troposphere,,air,lower stratosphere + upper troposphere,
air,lower stratosphere and upper troposphere,,air,lower stratosphere + upper troposphere,
inventory indicator,waste,,waste,,
soil,forestry,,soil,non-agricultural,,if_absent
soil,industrial,,soil,non-agricultural,,if_absent
water,groundwater,,water,surface water,,if_absent
water,lake,,water,surface water,,if_absent
water,"groundwater, long-term",,water,unspecified (long-term),,if_absent
air,"low population density, long-term",,air,unspecified (long-term),,if_absent
