name1,name2,direction,cas,note
"(+-)-2-ethoxy-2,3-dihydro-3,3-dimethylbenzofuran-5-yl methanesufonate",Ethofumesate
"(+-)-cis-4-[3-(4-tert-butylphenyl)-2-methylpropyl]-2,6-dimethylmorpholine",Fenpropimorph
"(2,4-dichlorophenoxy)acetic acid","2,4-D"
"(3,5,6-Trichloro-2-pyridinyl)oxyacetic acid",Triclopyr
(4-chloro-2-methylphenoxy)acetic acid,MCPA
"(5-cyclopropyl-1,2-oxazol-4-yl)(α,α,α-trifluoro-2-mesyl-p-tolyl)methanone",Isoxaflutole
"(E,Z 4-[3-(4-chlorophenyl)-3-(3,4-dimethoxyphenyl)acryloyl]morpholine",Dimethomorph
(R)-1-(ethylcarbamoyl)ethyl carbanilate,Carbetamide
"(R)-2-(2,4-dichlorophenoxy)propionic acid",Dichlorprop-P
(R)-2-(4-chloro-o-tolyloxy)propionic acid,Mecoprop-P
(R)-2-[4-(6-chloroquinoxalin-2-yloxy)phenoxy]propionic acid,Quizalofop-P
"(R)-2-{(2,6-dimethylphenylmethoxy)acetylamino}-propionic acid methyl ester",Metalaxyl-M
"(RS)-1-(2,4-dichlorophenyl)-5-methyl-2-pyrazoline-3,5-dicarboxylic acid",Mefenpyr
(RS)-1-[3-(4-tert-butylphenyl)-2-methylpropyl]piperidine,Fenpropidin
"(RS)-2-(2,4-dichlorophenyl)-1-(1H-1,2,4-triazol-1-yl)hexan-2-ol",Hexaconazole
(RS)-2-(4-chloro-o-tolyloxy)propionic acid,Mecoprop
(RS)-2-(4-isopropyl-4-methyl-5-oxo-2-imidazolin-2-yl)nicotinic acid,Imazapyr
"(RS)-2-[4-(6-chloro-1,3-benzoxazol-2-yloxy)phenoxy]propionic acid",Fenoxaprop
"(RS)-3-(3,5-dichlorophenyl)-5-methyl-5-vinyl-1,3-oxazolidine-2,4-dione",Vinclozolin
"(RS)-4-(4-chlorophenyl)-2-phenyl-2-(1H-1,2,4-triazol-1-ylmethyl)butyronitrile",Fenbuconazole
(RS)-5-ethyl-2-(4-isopropyl-4-methyl-5-oxo-2-imidazolin-2-yl)nicotinic acid,Imazethapyr
"(RS)-N,N-diethyl-2-(1-naphthyloxy)propionamide",Napropamide
(RS)-[O-(2-tert-butylpyrimidin-5-yl) O-ethyl O-isopropyl phosphorothioate],Tebupirimphos
"(RS)-α-cyano-3-phenoxybenzyl N-(2-chloro-α,α,α-trifluoro-p-tolyl)-D-valinate",tau-Fluvalinate
(S)-α-cyano-3-phenoxybenzyl (S)-2-(4-chlorophenyl)-3-methylbutyrate,Esfenvalerate
"1,1,1-Trichlorethan","Ethane, 1,1,1-trichloro-, HCFC-140"
"1,1,1-Trichloroethane","Ethane, 1,1,1-trichloro-, HCFC-140"
Bromochlorodifluoromethane,"Methane, bromochlorodifluoro-, Halon 1211"
Halon-1211,"Methane, bromochlorodifluoro-, Halon 1211"
Bromotrifluoromethane,"Methane, bromotrifluoro-, Halon 1301"
Halon-1301,"Methane, bromotrifluoro-, Halon 1301"
Bromomethane,"Methane, bromo-, Halon 1001"
Halon-1001,"Methane, bromo-, Halon 1001"
Halothane,"Methane, bromo-chloro-trifluoro-, Halothane"
Dichlorodifluoromethane,"Methane, dichlorodifluoro-, CFC-12"
Trichlorofluoromethane,"Methane, trichlorofluoro-, CFC-11"
Tetrachloromethane,"Methane, tetrachloro-, CFC-10"
Chlorodifluoromethane,"Methane, chlorodifluoro-, HCFC-22"
Dichlorofluoromethane,"Methane, dichlorofluoro-, HCFC-21"
Chloromethane,"Methane, monochloro-, R-40"
Dibromomethane,"Methane, dibromo-"
Dibromofluoromethane,"Methane, bromodifluoro-, Halon 1201"
Dibromodifluoromethane,"Methane, dibromodifluoro-, Halon 1202"
"1,1,2-Trichlorethan","Ethane, 1,1,2-trichloro-"
"1,1-bis-(chlorophenyl)-2,2,2-trichloroethanol",Dicofol
"1,1-dimethylpiperidinium chloride",Mepiquat chloride
"1,1´-ethylene-2.2´bipyridyldiylium",Diquat
"1,1′-dimethyl-4,4′-bipyridinium",Paraquat
"1,2,3,4,5,6-hexachlorocyclohexane (gamma isomer)",Lindane
"1,2-Benzacenaphthene",Fluoranthene
"1,3-butadiene",Butadiene
"1,4,5,6,7,7-hexachloro-8,9,10-trinorborn-5-en-2,3-ylenebismethylene sulfite",Endosulfan
"1,4-Butanediol",Butylene glycol
"1,4-bis(1-formamido-2,2,2-trichloroethyl)piperazine",Triforine
"1-(((2,4-dichlorophenyl)amino)carbonyl)cyclopropanecarboxylic acid",Cyclanilide
"1-(1,3-benzothiazol-2-yl)-1,3-dimethylurea",Methabenzthiazuron
1-(2-cyano-2-methoxyiminoacetyl)-3-ethylurea,Cymoxanil
"1-(3,5-dichloro-2,4-difluorophenyl)-3-(2,6-difluorobenzoyl)urea",Teflubenzuron
"1-(4,6-dimethoxypyrimidin-2-yl)-3-(3-ethylsulfonyl-2-pyridylsulfonyl)urea",Rimsulfuron
"1-(4,6-dimethoxypyrimidin-2-yl)-3-mesyl(methyl)sulfamoylurea",Amidosulfuron
"1-(4-chlorophenyl)-3-(2,6-difluorobenzoyl)urea",Diflubenzuron
1-Butanol,Butanol
1-Butene,Butene
1-Pentanol,amyl alcohol
1-Pentene,amylene
1-Propanol,Propanol
"1-[[4-Bromo-2-(2,4-dichlorophenyl)tetrahydro-2-furanyl]methyl]-1,2,4-triazole",Bromuconazole
"1-aminopropane, n-Propylamine",Propylamine
"1-chloro-2-methylbenzene, o-chlorotoluene, o-tolyl chloride","Toluene, 2-chloro"
1-naphthol methylcarbamate,Carbaryl
"2',4'-difluoro-2-(alpha,alpha,alpha-trifluoro-m-tolyloxy)nicotinanilide",Diflufenican
"2,2,4-Trimethyl pentane","Pentane, 2,2,4-trimethyl-"
"2,3-Dihydro-5,6-dimethyl-1,4-dithiin 1,1,4,4-tetraoxide",Dimethipin
"2,3-dihydro-2,2-dimethylbenzofuran-7-yl methylcarbamate",Carbofuran
"2,4-D amines","2,4-D dimethylamine salt"
"2,4-D amines","2,4-D, dimethylamine salt"
"2,4-D ester","2,4-D polypropoxybutyl ester"
"2,4-D, dimethylamine salt",Dimethylamine
"2,4-DB","Butyric acid, 4-(2,4-dichlorophenoxy)-"
"2,4-Dinitro-o-kresol",DNOC
"2,6-dichlorobenzonitrile",Dichlobenil
"2-(2-chlorobenzyl)-4,4-dimethyl-1,2-oxazolidin-3-one",Clomazone
"2-(4,6-dimethoxypyrimidin-2-ylcarbamoylsulfamoyl)-N,N-dimethylnicotinamide",Nicosulfuron
"2-(4-mesyl-2-nitrobenzoyl)cyclohexane-1,3-dione",Mesotrione
2-Aminopropanol,L-alalinol
2-Butene,Butene
"2-Butene, 2-methyl-",2-Methyl-2-butene
2-Chlorsulfuron,Chlorsulfuron
2-Methyl pentane,Isohexane
2-Methyl pentane,"Pentane, 2-methyl-"
2-Methyl-1-propanol,"Isobutanol, Isobutyl alcohol"
2-Methyl-2-butene,n-Amylene
2-Methyl-4-chlorophenoxyacetic acid,MCPA
2-Nitrobenzoic acid,"o-nitrobenzoic acid, ortho-nitrobenzoic acid"
2-Phenylpropane,Cumene
2-Propanol,"Isopropanol, Isopropyl alcohol"
2-Pyrrolidon-3-chloro-4-chloromethyl-1-(3-trifluoromethylphenyl),Fluorochloridone
"2-[4,6-bis(difluoromethoxy)pyrimidin-2-ylcarbamoylsulfamoyl]benzoic acid",Primisulfuron
"2-[4-methoxy-6-methyl-1,3,5-triazin-2-yl(methyl)carbamoylsulfamoyl]benzoic acid",Tribenuron
2-[[4-chloro-6-(ethylamino)-s-triazin-2-yl]amino]-2-methylpropionitrile,Cyanazine
"2-aminobenzoic acid, anthranilate, vitamin L1",Anthranilic acid
2-chloro-6'-ethyl-N-(2-methoxy-1-methylethyl)aceto-o-toluidide,Metolachlor
2-chloro-6-nitro-3-phenoxyaniline,Aclonifen
"2-chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide",Alachlor
"2-chloro-N-(2-methoxyethyl)acet-2′,6′-xylidide",Dimethachlor
"2-chloro-N-(pyrazol-1-ylmethyl)acet-2´,6´-xylidide",Metazachlor
"2-chloro-α,α,α-trifluoro-p-tolyl 3-ethoxy-4-nitrophenyl ether",Oxyfluorfen
2-chloroethylphosphonic acid,Ethephon
2-chloroethyltrimethylammonium,Chlormequat
"2-dimethylamino-5,6-dimethylpyrimidin-4-yl dimethylcarbamate",Pirimicarb
2-hydroxyethyltrimethylammoniumchlorid,Chlormequat chloride
2-hydroxypropanoic acid,Lactic acid
"2-methoxy-N-(2-oxo-1,3-oxazolidin-3-yl)aceto-2',6'-xylidide",Oxadixyl
"2-methylbuta-1,3-diene",Isoprene
2-propylamine,Isopropylamine
"2-sec-butyl-4,6-dinitrophenol",Dinoseb
"2′,6′-difluoro-5-methyl[1,2,4]triazolo[1,5-a]pyrimidine-2-sulfonanilide",Flumetsulam
"3,5-dibromo-4-hydroxybenzonitrile",Bromoxynil
"3,6-Dichloro-2-pyridinecarboxylic acid",Clopyralid
"3,6-dichloro-o-anisic acid",Dicamba
"3-(-3-chloro-p-tolyl)-1,1-dimethylurea",Chlorotoluron
"3-(2,4-dichlorophenyl)-6-fluoro-2-(1H-1,2,4-triazol-1-yl)quinazolin-4(3H)-one",Fluquinconazole
"3-(3,4-dichlorophenyl)-1-methoxy-1-methylurea",Linuron
"3-(3,5-dichlorophenyl)-N-isopropyl-2,4-dioxoimidazolidine-1-carboxamide",Iprodion
3-(4-chlorophenyl)-1-methoxy-1-methylurea,Monolinuron
"3-(4-isopropylphenyl)-1,1-dimethylurea",Isoproturon
3-Methyl-1-butanol,Isopentyl alcohol
3-Methyl-1-butanol,isoamyl alcohol
3-Methyl-1-butanol,"isoamyl alcohol, Isopentyl alcohol"
"3-isopropyl-1H-2,1,3-benzothiadiazin-4(3H)-one 2,2-dioxide",Bentazone
"4,6-dimethyl-N-phenylpyrimidin-2-amine",Pyrimethanil
"4-(2,3-dichlorophenyl)pyrrole-3-carbonitrile",Fenpiclonil
4-(4-chloro-o-tolyloxy)butyric acid,MCPB
"4-Chlorobenzyl N,N-diethylthiocarbamate",Thiobencarb
4-Methyl-2-pentanol,"Methyl isobutyl carbinol, Methylamyl alcohol"
4-Methyl-2-pentanone,"Methyl isobutyl ketone, MIBK"
4-[hydroxy(methyl)phosphinoyl]-DL-homoalanine,Glufosinate
"4-alkyl-2,6-dimethylmorpholine",Tridemorph
"4-amino-3,5,6-trichloropyridine-2-carboxylic acid",Picloram
"4-amino-3,5-dichloro-6-fluoro-2-pyridyloxyacetic acid",Fluroxypyr
"4-amino-4,5-dihydro-3-methyl-6-phenyl-1,2,4-triazin-5-one",Metamitron
"4-amino-6-tert-butyl-4,5-dihydro-3-methylthio-1,2,4-triazin-5-one",Metribuzin
4-chloro-2-oxobenzothiazolin-3-ylacetic acid,Benazolin
4-cyclopropyl-6-methyl-N-phenylpyrimidin-2-amine,Cyprodinil
"4-hydroxy-3,5-di-iodobenzonitrile",Ioxynil
"4-iodo-2-[3-(4-methoxy-6-methyl-1,3,5-triazin-2-yl)ureidosulfonyl]benzoic acid",Iodosulfuron
"4-methylthio-3,5-xylyl methylcarbamate",Methiocarb
"5,10-dihydro-5,10-dioxonaphtho[2,3-b]-1,4-dithiine-2,3-dicarbonitrile",Dithianon
"5,7-dichloro-4-quinolyl 4-fluorophenyl ether",Quinoxyfen
"5-(2-chloro-α,α,α-trifluoro-p-tolyloxy)-N-mesyl-2-nitrobenzamide",Fomesafen
5-amino-4-chloro-2-phenylpyridazin-3(2H)-one,Chloridazon
5-chlor-8-chinolinoxy-essigsäure-1-methylhexylester,Cloquintocet-mexyl
"6-chloro-N2,N4-diethyl-1,3,5-triazine-2,4-diamine",Simazine
7-chloro-3-methylquinoline-8-carboxylic acid,Quinmerac
"7-oxabicyclo[2.2.1]heptane-2,3-Dicarboxylic acid",Endothall
"8-Quinolinecarboxylic aicd, 3,7-dichloro-",Quinclorac
"8-tert-butyl-1,4-dioxaspiro[4.5]decan-2-ylmethyl(ethyl)(propyl)amine",Spiroxamine
"9,10-dihydro-9,10-dioxoanthracene",Anthraquinone
9H-Fluorene,Fluorene
"AOX, Adsorbable Organic Halogen as Cl","AOX, Adsorbable Organic Halogen",,,older spelling of the same sum parameter
