name,dimension,factor
kg,mass,1.0
kilogram,mass,1.0
g,mass,0.001
gram,mass,0.001
mg,mass,1e-06
milligram,mass,1e-06
t,mass,1000.0
ton,mass,1000.0
tonne,mass,1000.0
metric ton,mass,1000.0
pound,mass,0.45359237
lb,mass,0.45359237
ounce avoirdupois,mass,0.028349523125
oz,mass,0.028349523125
m,length,1.0
meter,length,1.0
metre,length,1.0
km,length,1000.0
kilometer,length,1000.0
kilometre,length,1000.0
cm,length,0.01
centimeter,length,0.01
centimetre,length,0.01
mm,length,0.001
millimeter,length,0.001
millimetre,length,0.001
mile,length,1609.344
ft,length,0.3048
foot,length,0.3048
inch,length,0.0254
in,length,0.0254
s,time,1.0
second,time,1.0
sec,time,1.0
min,time,60.0
minute,time,60.0
h,time,3600.0
hour,time,3600.0
hr,time,3600.0
d,time,86400.0
day,time,86400.0
year,time,31536000.0
a,time,31536000.0
yr,time,31536000.0
y,time,31536000.0
month,time,2592000.0
MJ,energy,1.0
megajoule,energy,1.0
J,energy,1e-06
joule,energy,1e-06
kJ,energy,0.001
kilojoule,energy,0.001
GJ,energy,1000.0
gigajoule,energy,1000.0
TJ,energy,1000000.0
terajoule,energy,1000000.0
kWh,energy,3.6
kilowatt hour,energy,3.6
kilowatt-hour,energy,3.6
MWh,energy,3600.0
megawatt hour,energy,3600.0
megawatt-hour,energy,3600.0
Wh,energy,0.0036
watt hour,energy,0.0036
watt-hour,energy,0.0036
kcal,energy,0.004184
kilocalorie,energy,0.004184
cal,energy,4.184e-06
calorie,energy,4.184e-06
Btu,energy,0.00105506
british thermal unit,energy,0.00105506
m2,area,1.0
m²,area,1.0
square meter,area,1.0
square metre,area,1.0
ha,area,10000.0
hectare,area,10000.0
km2,area,1000000.0
km²,area,1000000.0
cm2,area,0.0001
cm²,area,0.0001
acre,area,4046.8564224
m3,volume,1.0
m³,volume,1.0
cubic meter,volume,1.0
cubic metre,volume,1.0
Nm3,volume,1.0
Sm3,volume,1.0
l,volume,0.001
liter,volume,0.001
litre,volume,0.001
dm3,volume,0.001
ml,volume,1e-06
cm3,volume,1e-06
cm³,volume,1e-06
gallon,volume,0.003785411784
gal,volume,0.003785411784
m3-world equivalents,result*volume,1.0
unit,count,1.0
units,count,1.0
p,count,1.0
pcs,count,1.0
piece,count,1.0
pieces,count,1.0
item,count,1.0
items,count,1.0
dimensionless,count,1.0
guest night,count,1.0
guestnight,count,1.0
TEU,count,1.0
EUR,currency,1.0
EUR2005,currency,1.0
euro,currency,1.0
USD,currency,1.0
USD(2011),currency,1.0
usd2011,currency,1.0
dollar,currency,1.0
tkm,mass*length,1.0
t*km,mass*length,1.0
t.km,mass*length,1.0
metric ton*km,mass*length,1.0
tonne*km,mass*length,1.0
tonne-km,mass*length,1.0
tonne-kilometer,mass*length,1.0
tonne-kilometre,mass*length,1.0
kgkm,mass*length,0.001
kg*km,mass*length,0.001
kg.km,mass*length,0.001
kilogram*km,mass*length,0.001
kilogram-km,mass*length,0.001
kilogram-kilometer,mass*length,0.001
kilogram-kilometre,mass*length,0.001
kgm,mass*length,1e-06
kg*m,mass*length,1e-06
t*mile,mass*length,1.609344
ton*mile,mass*length,1.609344
ton-mile,mass*length,1.609344
pkm,length*count,1.0
person*km,length*count,1.0
personkm,length*count,1.0
passenger*km,length*count,1.0
passenger-km,length*count,1.0
passenger-kilometer,length*count,1.0
person*mile,length*count,1.609344
passenger*mile,length*count,1.609344
passenger-mile,length*count,1.609344
m2a,area*time,1.0
m2*a,area*time,1.0
m2*year,area*time,1.0
m²*year,area*time,1.0
m2.year,area*time,1.0
ha a,area*time,10000.0
ha*a,area*time,10000.0
ha*year,area*time,10000.0
ha.year,area*time,10000.0
hectare*year,area*time,10000.0
m3y,volume*time,1.0
m3a,volume*time,1.0
m3*a,volume*time,1.0
m3*year,volume*time,1.0
m³*year,volume*time,1.0
m3.year,volume*time,1.0
l*year,volume*time,0.001
l.year,volume*time,0.001
l*a,volume*time,0.001
liter*year,volume*time,0.001
litre*year,volume*time,0.001
l*day,volume*time,2.7397260273972604e-06
l.day,volume*time,2.7397260273972604e-06
l*d,volume*time,2.7397260273972604e-06
liter*day,volume*time,2.7397260273972604e-06
litre*day,volume*time,2.7397260273972604e-06
kgy,mass*time,1.0
kg*year,mass*time,1.0
kg.year,mass*time,1.0
kg*a,mass*time,1.0
kg*day,mass*time,0.0027397260273972603
kg.day,mass*time,0.0027397260273972603
kg*d,mass*time,0.0027397260273972603
my,length*time,1.0
m*a,length*time,1.0
m*year,length*time,1.0
m.year,length*time,1.0
kmy,length*time,1000.0
km*a,length*time,1000.0
km*year,length*time,1000.0
km.year,length*time,1000.0
mile*year,length*time,1609.344
mile.year,length*time,1609.344
m/s,length/time,1.0
km/h,length/time,0.2777777777777778
kph,length/time,0.2777777777777778
mph,length/time,0.44704
mile/h,length/time,0.44704
kBq,/time,1.0
kilobecquerel,/time,1.0
Bq,/time,0.001
becquerel,/time,0.001
kg/m3,mass/length/length/length,1.0
kg/l,mass/length/length/length,1000.0
